Date,Last Price,Change,%Change,Open,Low,High,Volume,Net Foreign,Weekend.Holiday
2/25/2009,1887.1,17.51,0.0094,1878.41,1878.41,1906.97,642.8K,-96.99M,0
2/26/2009,1880.38,-6.72,-0.0036,1883.15,1878.57,1889.43,527.22K,-185M,0
2/27/2009,1872.22,-8.16,-0.0043,1880.16,1872.22,1886.84,761.26K,-198.61M,0
2/28/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
3/1/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
3/2/2009,1856.43,-15.79,-0.0084,1877.48,1854.83,1877.48,741.82K,-80.5M,0
3/3/2009,1859.98,3.55,0.0019,1845.61,1837.33,1861.35,788.94K,-291.25M,0
3/4/2009,1885.92,25.94,0.0139,1864.99,1855.68,1885.92,2.11M,15.81M,0
3/5/2009,1924.3,38.38,0.0204,1899.87,1899.87,1927.05,1.44M,-360.37M,0
3/6/2009,1920.16,-4.14,-0.0022,1912.32,1904.85,1932.07,1.97M,-464.38M,0
3/7/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
3/8/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
3/9/2009,1890.62,-29.54,-0.0154,1920.16,1876.23,1920.16,1.08M,-749.6M,0
3/10/2009,1873.22,-17.4,-0.0092,1876.93,1869.62,1885.01,942.5K,-387.41M,0
3/11/2009,1901.42,28.2,0.0151,1901.71,1894.08,1923.94,1.29M,-584.22M,0
3/12/2009,1879.67,-21.75,-0.0114,1901.18,1876.87,1907.18,658.18K,-382.07M,0
3/13/2009,1856.1,-23.57,-0.0125,1866.36,1856.1,1874.76,1.2M,87M,0
3/14/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
3/15/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
3/16/2009,1769.67,-86.43,-0.0466,1818.57,1765.35,1818.57,1.21M,-240.87M,0
3/17/2009,1759.33,-10.34,-0.0058,1770.6,1745.39,1775.44,1.74M,-1.72B,0
3/18/2009,1770.28,10.95,0.0062,1781.25,1770.28,1786.11,1.21M,-215.9M,0
3/19/2009,1780.26,9.98,0.0056,1777.38,1771.84,1791.71,943.78K,-193.16M,0
3/20/2009,1833.9,53.64,0.0301,1781.52,1779.51,1839.82,1.8M,5.93M,0
3/21/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
3/22/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
3/23/2009,1879.09,45.19,0.0246,1849,1849,1884.34,2.53M,-286.86M,0
3/24/2009,1917.69,38.6,0.0205,1927.82,1912.88,1932.6,1.86M,-16.64M,0
3/25/2009,1939.54,21.85,0.0114,1923.75,1906.93,1940.65,1.05M,-182.6M,0
3/26/2009,1988.26,48.72,0.0251,1951.53,1947.55,1988.26,1.3M,64.69M,0
3/27/2009,2040.25,51.99,0.0261,2023.18,2023.18,2048.6,1.38M,214.76M,0
3/28/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
3/29/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
3/30/2009,2023.11,-17.14,-0.0084,2027.42,2004.28,2029.14,810.23K,-297.41M,0
3/31/2009,1986.22,-36.89,-0.0182,2001.26,1985.61,2001.26,1.03M,-139.69M,0
4/1/2009,1967.28,0,0,1987.95,1965.59,1989.05,1.12M,-642.06M,0
4/2/2009,1982.88,15.6,0.0079,1993.31,1977.55,1996.5,1.17M,-891.01M,0
4/3/2009,2028.59,45.71,0.0231,2009.68,2008.64,2029.83,1.41M,-413.57M,0
4/4/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
4/5/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
4/6/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
4/7/2009,2051.69,23.1,0.0114,2034.21,2034.21,2059.89,1.35M,-458.02M,0
4/8/2009,2072.81,21.12,0.0103,2053.04,2046.04,2072.81,1.4M,-502.12M,0
4/9/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
4/10/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
4/11/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
4/12/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
4/13/2009,2043.2,-29.61,-0.0143,2083.03,2039.67,2097.73,1.29M,-370.56M,0
4/14/2009,2037.09,-6.11,-0.003,2042.57,2024.32,2042.57,911.62K,-221.11M,0
4/15/2009,2022.49,-14.6,-0.0072,2031.14,2015.23,2031.44,943.08K,-333.43M,0
4/16/2009,2064.66,42.17,0.0209,2043.92,2043.92,2064.81,1.26M,-279.89M,0
4/17/2009,2094.13,29.47,0.0143,2081.27,2077.94,2100.66,1.48M,-1.04B,0
4/18/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
4/19/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
4/20/2009,2086.72,-7.41,-0.0035,2094.66,2083.2,2103.56,849.29K,8.65M,0
