Date,Last Price,Change,%Change,Open,Low,High,Volume,Net Foreign,Weekend.Holiday
7/2/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
7/3/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
7/4/2011,4421.56,69.93,0.0161,4352.2,4352.2,4421.56,1.66M,619.82M,0
7/5/2011,4439.61,18.05,0.0041,4422.23,4422.23,4464.23,1.58M,453.72M,0
7/6/2011,4398.75,-40.86,-0.0092,4445.43,4398.75,4445.43,1.08M,303.23M,0
7/7/2011,4375.85,-22.9,-0.0052,4398.75,4375.85,4407.57,1.07M,-55.31M,0
7/8/2011,4391.46,15.61,0.0036,4378.22,4378.22,4411.37,2.27M,3.45B,0
7/9/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
7/10/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
7/11/2011,4375.86,-15.6,-0.0036,4392.17,4374.19,4392.17,984.32K,-86M,0
7/12/2011,4350.09,-25.77,-0.0059,4375.86,4333.37,4375.86,1M,-327.18M,0
7/13/2011,4404,53.91,0.0124,4350.62,4350.62,4419.51,1.54M,469.71M,0
7/14/2011,4423.55,19.55,0.0044,4404.3,4404.3,4429.39,1.19M,511.02M,0
7/15/2011,4458.74,35.19,0.008,4423.7,4423.7,4458.74,1.37M,464.48M,0
7/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
7/17/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
7/18/2011,4476.01,17.27,0.0039,4454.03,4451.69,4476.01,1.28M,-223.18M,0
7/19/2011,4485.65,9.64,0.0022,4475.67,4473.33,4485.65,1.56M,506.75M,0
7/20/2011,4507.04,21.39,0.0048,4483.13,4483.13,4515.77,1.5M,121.39M,0
7/21/2011,4480.01,-27.03,-0.006,4502.09,4480.01,4507.05,1.34M,395.56M,0
7/22/2011,4478.36,-1.65,-0.0004,4481.39,4472.59,4488.21,1.45M,1.89B,0
7/23/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
7/24/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
7/25/2011,4480.5,2.14,0.0005,4478.39,4467.18,4481.03,964.67K,371.85M,0
7/26/2011,4465.87,-14.63,-0.0033,4476.52,4465.87,4489.15,962.89K,-166.08M,0
7/27/2011,4482.89,17.02,0.0038,4464.49,4451.65,4484.72,1.15M,164.68M,0
7/28/2011,4482.8,-0.09,0,4482.79,4470.59,4482.8,956.07K,-26.26M,0
7/29/2011,4503.63,20.83,0.0046,4483.63,4483.63,4503.63,1.01M,340.69M,0
7/30/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
7/31/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
8/1/2011,4550.53,46.9,0.0104,4503.04,4498.94,4550.53,1.12M,185.5M,0
8/2/2011,4541.23,-9.3,-0.002,4552.21,4533.54,4563.65,1.1M,500.71M,0
8/3/2011,4488.45,-52.78,-0.0116,4542.37,4473.95,4542.37,1.18M,4.93M,0
8/4/2011,4501.53,13.08,0.0029,4488.65,4478.61,4506.33,1.33M,-242.53M,0
8/5/2011,4437.55,-63.98,-0.0142,4494.77,4342.06,4494.77,8M,-548.61M,0
8/6/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
8/7/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
8/8/2011,4331.24,-106.31,-0.024,4425.62,4320.58,4425.62,1.58M,-1.63B,0
8/9/2011,4157.03,-174.21,-0.0402,4208.55,4129.3,4208.55,2.01M,-1.54B,0
8/10/2011,4290.14,133.11,0.032,4250.41,4250.41,4290.14,1.78M,-511.41M,0
8/11/2011,4311.02,20.88,0.0049,4286.45,4208.67,4311.02,1.67M,-545.7M,0
8/12/2011,4321.73,10.71,0.0025,4314.85,4314.85,4360.82,1.31M,-437.69M,0
8/13/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
8/14/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
8/15/2011,4332.63,10.9,0.0025,4322.43,4322.43,4348.82,1.15M,-416.52M,0
8/16/2011,4372.7,40.07,0.0092,4337.2,4337.2,4379.68,1.26M,-87.75M,0
8/17/2011,4340.27,-32.43,-0.0074,4375.4,4332.7,4375.4,1.51M,1.1B,0
8/18/2011,4403.54,63.27,0.0146,4351.05,4349.82,4403.54,1.16M,368.01M,0
8/19/2011,4339.9,-63.64,-0.0145,4393.23,4324,4393.23,1.06M,-490.47M,0
8/20/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
8/21/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
8/22/2011,4291.11,-48.79,-0.0112,4327.03,4291.11,4327.03,1.03M,-817.88M,0
8/23/2011,4375.39,84.28,0.0196,4302.27,4302.27,4375.39,1.39M,91.77M,0
8/24/2011,4366.45,-8.94,-0.002,4377.86,4354.45,4381.85,4.16M,-271.4M,0
8/25/2011,4342.69,-23.76,-0.0054,4363.15,4342.69,4363.15,1.79M,359.42M,0
8/26/2011,4305.56,-37.13,-0.0086,4334.01,4299.59,4342.78,1.05M,-117.84M,0
8/27/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
8/28/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
8/29/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
8/30/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
8/31/2011,4348.5,42.94,0.01,4319.06,4319.06,4351.57,1.13M,-223.66M,0
9/1/2011,4366.59,18.09,0.0042,4348.5,4348.5,4394.83,1.39M,392.16M,0
9/2/2011,4392.91,26.32,0.006,4369.84,4368.46,4397.98,1.02M,34.52M,0
9/3/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
9/4/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
9/5/2011,4382.56,-10.35,-0.0024,4382.28,4358.69,4382.56,810.57K,142.68M,0
9/6/2011,4303.08,-79.48,-0.0181,4377.59,4303.08,4378.07,1.21M,171.64M,0
9/7/2011,4315.21,12.13,0.0028,4303.55,4303.55,4331.46,1.26M,242.81M,0
9/8/2011,4356.73,41.52,0.0096,4324.82,4324.82,4356.73,945.48K,218.98M,0
9/9/2011,4346.07,-10.66,-0.0024,4361.03,4346.07,4364.56,952.77K,-3.04M,0
9/10/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
9/11/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
9/12/2011,4297.85,-48.22,-0.0111,4346.07,4293.84,4351.62,740.8K,-275.55M,0
9/13/2011,4292.91,-4.94,-0.0011,4296.4,4289.61,4313.54,577.83K,-77.79M,0
9/14/2011,4258.86,-34.05,-0.0079,4293.59,4257.06,4306.68,991.62K,-283.9M,0
9/15/2011,4291.4,32.54,0.0076,4262.87,4262.87,4307.53,1.09M,51.26M,0
9/16/2011,4290.17,-1.23,-0.0003,4293.62,4290.17,4333.72,1.31M,-214.36M,0
9/17/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
9/18/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
9/19/2011,4307.99,17.82,0.0042,4306.7,4295.88,4316.42,720.87K,226.37M,0
9/20/2011,4219.82,-88.17,-0.0205,4291.43,4219.82,4291.43,897.19K,-506.79M,0
9/21/2011,4204.29,-15.53,-0.0037,4221.38,4203.3,4248.82,826.64K,-504.11M,0
9/22/2011,4096.1,-108.19,-0.0257,4182.64,4089.53,4182.64,1.2M,-620.27M,0
9/23/2011,3885.96,-210.14,-0.0513,4090.93,3879.02,4090.93,2.06M,-267.64M,0
9/24/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
9/25/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
9/26/2011,3721.22,-164.74,-0.0424,3894.77,3715.01,3900.36,1.39M,-852.37M,0
9/27/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
9/28/2011,3876.12,154.9,0.0416,3906.5,3876.12,3937.25,1.81M,-698.62M,0
9/29/2011,3877.63,1.51,0.0004,3838.79,3815.59,3893.46,1.34M,-1.05B,0
9/30/2011,3999.65,122.02,0.0315,3894.44,3894.44,4003.48,1.24M,486.39M,0
10/1/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
10/2/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
10/3/2011,3865.83,-133.82,-0.0335,3989.04,3865.83,3989.04,805.34K,-273.11M,0
10/4/2011,3829.92,-35.91,-0.0093,3837.13,3798.06,3877.51,1.27M,-1.17B,0
10/5/2011,3823.13,-6.79,-0.0018,3835.74,3823.13,3866.62,1.63M,-634.83M,0
10/6/2011,3890.52,67.39,0.0176,3828.86,3828.86,3890.52,1.12M,-940.18M,0
10/7/2011,4009.26,118.74,0.0305,3912.61,3912.61,4009.26,1.34M,-69.19M,0
10/8/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
10/9/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
10/10/2011,4040.58,31.32,0.0078,4007.25,3993.75,4040.58,847.8K,-337.94M,0
10/11/2011,4109.27,68.69,0.017,4045.51,4045.51,4120.1,1.46M,745.19M,0
10/12/2011,4119.71,10.44,0.0025,4112.34,4079.39,4121.53,792.77K,137.17M,0
10/13/2011,4134.48,14.77,0.0036,4159.89,4132.85,4169.89,1.18M,494.04M,0
10/14/2011,4153.4,18.92,0.0046,4155.74,4146.15,4165.08,842.3K,523.4M,0
10/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
10/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
10/17/2011,4214.45,61.05,0.0147,4153.4,4153.4,4218.61,890.43K,-33.83M,0
10/18/2011,4157.26,-57.19,-0.0136,4171.95,4153.26,4184.66,888.64K,255.31M,0
10/19/2011,4193.55,36.29,0.0087,4160.88,4160.88,4196.47,937.5K,210.45M,0
10/20/2011,4170.57,-22.98,-0.0055,4194,4160.15,4199.3,620.94K,89.77M,0
10/21/2011,4166.6,-3.97,-0.001,4171.94,4158.33,4189.59,674.23K,81.52M,0
10/22/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
10/23/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
10/24/2011,4201.08,34.48,0.0083,4175.75,4175.75,4211.8,1.07M,122.25M,0
10/25/2011,4242.52,41.44,0.0099,4205.79,4205.79,4258.43,4.43M,16.7M,0
10/26/2011,4224.76,-17.76,-0.0042,4236.95,4218.77,4238.51,2.04M,128.32M,0
10/27/2011,4267.5,42.74,0.0101,4225.38,4225.38,4273.08,856.2K,545.07M,0
10/28/2011,4333.72,66.22,0.0155,4335.08,4326.25,4345.75,2.79M,1.01B,0
10/29/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
10/30/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
10/31/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
11/1/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
11/2/2011,4260.41,-73.31,-0.0169,4332.93,4254.44,4332.93,1.09M,614.32M,0
11/3/2011,4210.25,-50.16,-0.0118,4264.2,4207.44,4286.26,915.21K,630.48M,0
11/4/2011,4271.72,61.47,0.0146,4229.72,4229.72,4275.7,1.07M,356.59M,0
11/5/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
11/6/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
11/7/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
11/8/2011,4314.67,42.95,0.0101,4277.7,4277.7,4322.26,785.33K,133.12M,0
11/9/2011,4346.2,31.53,0.0073,4324.38,4308.07,4346.2,924.11K,285.95M,0
11/10/2011,4285.06,-61.14,-0.0141,4338.58,4269.67,4338.58,1.14M,169.02M,0
11/11/2011,4312.96,27.9,0.0065,4285.35,4285.35,4315.78,829.35K,103.65M,0
11/12/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
11/13/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
11/14/2011,4356.87,43.91,0.0102,4312.96,4312.96,4362.38,4.14M,503.13M,0
11/15/2011,4363.73,6.86,0.0016,4350.82,4337.92,4363.73,957.33K,575.54M,0
11/16/2011,4341.62,-22.11,-0.0051,4362.23,4337.56,4394.9,1.61M,847.07M,0
11/17/2011,4334.66,-6.96,-0.0016,4339.46,4323.16,4354.46,1.52M,432.75M,0
11/18/2011,4302.43,-32.23,-0.0074,4323.05,4302.43,4323.05,1.15M,-414M,0
11/19/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
11/20/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
11/21/2011,4299.47,-2.96,-0.0007,4301.25,4286.76,4301.25,1.23M,182.89M,0
11/22/2011,4289.75,-9.72,-0.0023,4283.7,4259.97,4289.75,1.24M,199.21M,0
11/23/2011,4271.59,-18.16,-0.0042,4284.7,4268.7,4293.04,1.23M,-33.96M,0
11/24/2011,4237.65,-33.94,-0.0079,4269.89,4212.43,4269.89,4.18M,11.17B,0
11/25/2011,4261.59,23.94,0.0056,4240.65,4227.82,4261.59,1.18M,-472.88M,0
11/26/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
11/27/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
11/28/2011,4227.88,-33.71,-0.0079,4261.59,4227.88,4274.84,1.11M,-286.25M,0
11/29/2011,4211.04,-16.84,-0.004,4228.12,4211.04,4255.5,3.62M,-1.22B,0
11/30/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
12/1/2011,4290.59,79.55,0.0189,4288.15,4276.45,4296.87,2.91M,2.01B,0
12/2/2011,4290.92,0.33,0.0001,4288.9,4278.37,4299.5,1.59M,598.31M,0
12/3/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
12/4/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
12/5/2011,4291.72,0.8,0.0002,4293.79,4271.5,4293.79,1.36M,100.7M,0
12/6/2011,4282.77,-8.95,-0.0021,4288.47,4269.96,4288.47,1.23M,329.43M,0
12/7/2011,4315.17,32.4,0.0076,4284.42,4282.57,4315.17,1.16M,496.76M,0
12/8/2011,4312.89,-2.28,-0.0005,4319.85,4291.2,4320.08,1.58M,615.28M,0
12/9/2011,4292.5,-20.39,-0.0047,4284.6,4266.24,4304.8,1.22M,1.29B,0
12/10/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
12/11/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
12/12/2011,4276.34,-16.16,-0.0038,4302.43,4276.34,4318.19,846.89K,206.61M,0
12/13/2011,4282.62,6.28,0.0015,4276.34,4267.33,4298.27,986.21K,-8.16M,0
12/14/2011,4285.93,3.31,0.0008,4283.85,4282.98,4295.75,1.16M,-69.08M,0
12/15/2011,4282.67,-3.26,-0.0008,4286.48,4273.95,4295.85,1.58M,1.25B,0
12/16/2011,4304.94,22.27,0.0052,4283.26,3990.71,4304.94,1.42M,253.66M,0
12/17/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
12/18/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
12/19/2011,4318.12,13.18,0.0031,4304.94,4304.94,4326.66,1.19M,580.75M,0
12/20/2011,4342.18,24.06,0.0056,4319.66,4301.13,4342.18,4.64M,15.76B,0
12/21/2011,4368.88,26.7,0.0061,4362.76,4362.76,4383.79,1.19M,826.31M,0
12/22/2011,4370.46,1.58,0.0004,4365.84,4352.1,4385.31,900.99K,621.56M,0
12/23/2011,4372.24,1.78,0.0004,4374.2,4372.24,4388.85,1.9M,262.8M,0
12/24/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
12/25/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
12/26/2011,4387.06,14.82,0.0034,4375.5,4372.08,4387.06,628.04K,338.54M,0
12/27/2011,4361.43,-25.63,-0.0058,4386.89,4340.19,4386.89,2.72M,-546.1M,0
12/28/2011,4336.63,-24.8,-0.0057,4359.54,4335.07,4366.56,915.46K,296.67M,0
12/29/2011,4371.96,35.33,0.0081,4336.63,4336.63,4371.96,1.12M,970.71M,0
12/30/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
12/31/2011,NA,NA,NA,NA,NA,NA,NA,NA,1
1/1/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
1/2/2012,4397.08,0,0,4371.96,4370.83,4397.08,402.85K,155.23M,0
1/3/2012,4422.22,25.14,0.0057,4398.86,4398.86,4422.22,1.11M,136.74M,0
1/4/2012,4487.77,65.55,0.0148,4422.95,4422.95,4487.77,1.31M,933.87M,0
1/5/2012,4518.91,31.14,0.0069,4487.77,4480.06,4527.21,1.38M,1.09B,0
1/6/2012,4483.36,-35.55,-0.0079,4517.66,4476.04,4520.33,1.11M,620.38M,0
1/7/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
1/8/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
1/9/2012,4541.6,58.24,0.013,4483.43,4476.79,4541.6,1.15M,922.22M,0
1/10/2012,4561.08,19.48,0.0043,4542.87,4533.81,4591.26,1.37M,1.11B,0
1/11/2012,4645.86,84.78,0.0186,4576.32,4576.32,4656.27,1.84M,1.94B,0
1/12/2012,4648.11,2.25,0.0005,4644.17,4629.6,4654.65,1.38M,1.42B,0
1/13/2012,4613.83,-34.28,-0.0074,4649,4602.02,4663.35,1.24M,684.18M,0
1/14/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
1/15/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
1/16/2012,4578.92,-34.91,-0.0076,4606.97,4578.92,4610.57,849.52K,214.52M,0
1/17/2012,4642.76,63.84,0.0139,4581.7,4581.7,4642.76,1.29M,732.75M,0
1/18/2012,4677.62,34.86,0.0075,4642.98,4642.34,4692.18,1.45M,58.5M,0
1/19/2012,4700.37,22.75,0.0049,4678.8,4675.52,4713.57,1.47M,1.08B,0
1/20/2012,4747.9,47.53,0.0101,4704.63,4704.63,4747.9,1.58M,-151.92M,0
1/21/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
1/22/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
1/23/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
1/24/2012,4714.35,-33.55,-0.0071,4748.04,4707.73,4756.78,3.64M,5.52B,0
1/25/2012,4670.49,-43.86,-0.0093,4715.57,4668.68,4715.57,1.05M,28.88M,0
1/26/2012,4611.68,-58.81,-0.0126,4673.06,4587.77,4673.06,1.55M,-319.51M,0
1/27/2012,4679.89,68.21,0.0148,4615.79,4615.38,4679.89,1.28M,212.83M,0
1/28/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
1/29/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
1/30/2012,4644.49,-35.4,-0.0076,4680.63,4612.12,4680.63,1.58M,-402.25M,0
1/31/2012,4682.44,37.95,0.0082,4645.18,4635.91,4682.44,3.47M,-26.9M,0
2/1/2012,4715.64,33.2,0.0071,4676.58,4673,4721.95,1.59M,274.35M,0
2/2/2012,4822.08,106.44,0.0226,4716.2,4716.2,4822.08,3.81M,2.5B,0
2/3/2012,4758.57,-63.51,-0.0132,4800.47,4739.87,4804.81,1.82M,-566.31M,0
2/4/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
2/5/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
2/6/2012,4816.33,57.76,0.0121,4782.93,4782.21,4855,1.86M,-966.53M,0
2/7/2012,4755.98,-60.35,-0.0125,4816.04,4755.98,4818.8,1.57M,-318.72M,0
2/8/2012,4805.8,49.82,0.0105,4757.44,4757.44,4806.97,2.93M,-1.55B,0
2/9/2012,4769.62,-36.18,-0.0075,4807.32,4745.14,4811.97,1.8M,-337.57M,0
2/10/2012,4783.52,13.9,0.0029,4769.3,4746.62,4796.47,1.69M,-207.86M,0
2/11/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
2/12/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
2/13/2012,4802.03,18.51,0.0039,4796.17,4779.36,4812.5,1.62M,234.26M,0
2/14/2012,4775.93,-26.1,-0.0054,4806.23,4770.21,4806.23,1.72M,251.62M,0
2/15/2012,4772.47,-3.46,-0.0007,4780.04,4752.32,4780.17,1.44M,-115.67M,0
2/16/2012,4766.57,-5.9,-0.0012,4772.47,4757.05,4795.33,1.27M,309.26M,0
2/17/2012,4880.71,114.14,0.0239,4831.98,4825.34,4886.99,1.71M,386.86M,0
2/18/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
2/19/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
2/20/2012,4943.84,63.13,0.0129,4894.36,4894.36,4966.94,2.15M,2.69B,0
2/21/2012,4900.94,-42.9,-0.0087,4943.11,4898.03,4943.11,1.74M,1.53B,0
2/22/2012,4934.29,33.35,0.0068,4899.92,4897.99,4955.61,1.85M,582.44M,0
2/23/2012,4893.48,-40.81,-0.0083,4934.65,4893.48,4997.04,2.04M,445.57M,0
2/24/2012,4893,-0.48,-0.0001,4923.02,4864.33,4961.02,1.96M,32.1M,0
2/25/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
2/26/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
2/27/2012,4799.29,-93.71,-0.0192,4893.5,4794.24,4908.12,1.48M,11.53M,0
2/28/2012,4820.43,21.14,0.0044,4797.04,4790.83,4837.45,1.32M,326.77M,0
2/29/2012,4897.65,77.22,0.016,4827.1,4827.1,4897.65,1.28M,998.05M,0
3/1/2012,4938.61,40.96,0.0084,4900.83,4896.21,5011.09,1.64M,692.81M,0
3/2/2012,5016.3,77.69,0.0157,4962.38,4962.38,5016.3,1.43M,525.15M,0
3/3/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
3/4/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
3/5/2012,5030.58,14.28,0.0028,5016.13,4995.7,5030.58,1.1M,349.56M,0
3/6/2012,4967.39,-63.19,-0.0126,5039.29,4941.43,5039.29,1.2M,298.72M,0
3/7/2012,4921.36,-46.03,-0.0093,4961.97,4899.2,4961.97,1.6M,135.1M,0
3/8/2012,4956.19,34.83,0.0071,4925.85,4925.85,4969.8,1.3M,469.82M,0
3/9/2012,4980.71,24.52,0.0049,4955.75,4955.75,4983.01,1.09M,-19.76M,0
3/10/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
3/11/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
3/12/2012,4975.17,-5.54,-0.0011,4983.22,4965.39,4986.13,1.06M,371.44M,0
3/13/2012,5005.75,30.58,0.0061,4977.04,4964.84,5005.75,1.69M,788.07M,0
3/14/2012,5050.99,45.24,0.009,5006.24,5006.24,5070.2,1.57M,763.93M,0
3/15/2012,5031.78,-19.21,-0.0038,5030.98,5030.98,5061.01,1.53M,632.64M,0
3/16/2012,5145.89,114.11,0.0227,5040.22,5040.22,5145.89,2.08M,655.51M,0
3/17/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
3/18/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
3/19/2012,5127,-18.89,-0.0037,5146.17,5117.55,5146.17,1.48M,54.17M,0
3/20/2012,5102.24,-24.76,-0.0048,5130.16,5100.47,5131.98,3.77M,-11.19B,0
3/21/2012,5037.94,-64.3,-0.0126,5101.99,5037.94,5101.99,1.33M,-138M,0
3/22/2012,5043.52,5.58,0.0011,5041.63,5041.63,5063.69,1.25M,65.11M,0
3/23/2012,5042.44,-1.08,-0.0002,5056.38,5026.72,5062.63,1.23M,642.59M,0
3/24/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
3/25/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
3/26/2012,5029.63,-12.81,-0.0025,5042.44,5029.63,5063.57,1M,349.48M,0
3/27/2012,5078.1,48.47,0.0096,5029.93,5029.93,5092.06,1.4M,873.45M,0
3/28/2012,5067.66,-10.44,-0.0021,5078.23,5060.12,5093.58,1.33M,387.98M,0
3/29/2012,5085.24,17.58,0.0035,5073.87,5049.99,5094.78,2.27M,-1.38B,0
3/30/2012,5107.73,22.49,0.0044,5088.37,5088.37,5120.47,1.28M,1.05B,0
3/31/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
4/1/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
4/2/2012,5110.86,3.13,0.0006,5107.73,5080.66,5115.61,610.34K,-31M,0
4/3/2012,5056.48,-54.38,-0.0106,5101.7,5056.48,5110.57,1.04M,14.97M,0
4/4/2012,5038.92,-17.56,-0.0035,5056.68,5028.34,5081.97,731.28K,9.3M,0
4/5/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
4/6/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
4/7/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
4/8/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
4/9/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
4/10/2012,5022.29,-16.63,-0.0033,5037.29,4990.75,5037.29,987.76K,112.48M,0
4/11/2012,5017.44,-4.85,-0.001,5016.82,4998.11,5017.44,742K,-307.73M,0
4/12/2012,5046.78,29.34,0.0058,5018.26,5014.02,5047.21,1.05M,-199.48M,0
4/13/2012,5097.3,50.52,0.01,5055.17,5055.17,5097.3,1.13M,414.88M,0
4/14/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
4/15/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
4/16/2012,5117.46,20.16,0.004,5097.3,5070.76,5119.47,1.28M,864.99M,0
4/17/2012,5157.28,39.82,0.0078,5117.26,5117.26,5186.52,1.3M,540.51M,0
4/18/2012,5186.2,28.92,0.0056,5165.3,5165.3,5219.29,1.44M,755.13M,0
4/19/2012,5173.28,-12.92,-0.0025,5190.68,5167.94,5193.42,1.06M,-277.17M,0
4/20/2012,5156.46,-16.82,-0.0033,5175.66,5147.06,5189.35,3.02M,3.46B,0
4/21/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
4/22/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
4/23/2012,5163.09,6.63,0.0013,5160.72,5152.1,5183.04,971.37K,568.46M,0
4/24/2012,5169.6,6.51,0.0013,5159.06,5133.26,5169.6,1.11M,-189.68M,0
4/25/2012,5204.84,35.24,0.0068,5182.89,5182.89,5226.54,1.67M,695.56M,0
4/26/2012,5218.97,14.13,0.0027,5212.74,5208.2,5247.14,1.46M,433.39M,0
4/27/2012,5169.05,-49.92,-0.0096,5217.38,5169.05,5225.01,1.12M,-143.27M,0
4/28/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
4/29/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
4/30/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
5/1/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
5/2/2012,5228.84,59.79,0.0116,5207.2,5207.2,5269.97,3.41M,9.73B,0
5/3/2012,5300.41,71.57,0.0137,5233.22,5233.22,5300.52,1.73M,700.7M,0
5/4/2012,5297.55,-2.86,-0.0005,5298.53,5275.79,5329.76,1.7M,789.98M,0
5/5/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
5/6/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
5/7/2012,5229.53,-68.02,-0.0128,5276.05,5200.88,5276.76,1.7M,1.14B,0
5/8/2012,5242.06,12.53,0.0024,5229.1,5198.59,5245.29,1.18M,-764.36M,0
5/9/2012,5214.79,-27.27,-0.0052,5241.03,5214.79,5249.87,1.27M,377.8M,0
5/10/2012,5192.1,-22.69,-0.0044,5214.37,5150.41,5226.69,1.54M,451.94M,0
5/11/2012,5158.14,-33.96,-0.0065,5209.76,5158.14,5215.12,1.17M,232.2M,0
5/12/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
5/13/2012,NA,NA,NA,NA,NA,NA,NA,NA,1
5/14/2012,5083.62,-74.52,-0.0144,5157.62,5042.38,5164.02,1.14M,-575.2M,0
5/15/2012,4977.45,-106.17,-0.0209,5022.6,4944.38,5024.96,1.47M,-2B,0
