"","ds","yhat","yhat_lower","yhat_upper"
"137",2009-05-21,2364.02853825032,2042.43838661189,2674.54348878582
"138",2009-05-22,2366.36833257712,2010.07295014256,2693.43839449539
"139",2009-05-23,2490.40411701609,2188.26402065684,2788.85761083386
"140",2009-05-24,2488.77248444221,2166.97229157892,2794.08528985335
"141",2009-05-25,2359.75828895731,2016.66013683803,2665.38265680713
"142",2009-05-26,2360.3436276569,2048.05066624502,2691.17645661819
"143",2009-05-27,2366.94408343677,2058.38455722257,2692.08870786126
"144",2009-05-28,2367.79310633062,2045.99991143992,2701.2782261171
"145",2009-05-29,2380.78362200908,2046.63291391066,2690.70743903142
"146",2009-05-30,2520.55548445235,2211.07570836317,2852.65112152871
"147",2009-05-31,2519.67989340846,2174.18151423452,2806.12395220017
"148",2009-06-01,2375.98868961205,2062.22506544008,2696.44776036979
"149",2009-06-02,2365.63490399828,2018.55251174515,2673.4258960099
"150",2009-06-03,2372.47754988716,2059.10134448663,2701.55564405773
"151",2009-06-04,2371.63961775899,2035.11125291956,2703.42808718058
"152",2009-06-05,2373.4542839581,2053.8614408472,2695.88517149294
"153",2009-06-06,2503.3826067023,2176.58945802903,2844.05431441173
"154",2009-06-07,2501.2759065778,2179.68324997905,2817.64282219653
"155",2009-06-08,2354.35746694637,2032.18535773478,2683.89513124384
"156",2009-06-09,2331.34037772344,2006.21509355585,2649.99208694135
"157",2009-06-10,2329.55866222651,2034.57110224728,2654.04548040238
"158",2009-06-11,2337.29492568389,2031.6443816638,2669.95351822909
"159",2009-06-12,2352.67468017848,2032.04556671108,2669.4712404341
"160",2009-06-13,2481.63398357431,2155.64632805075,2767.84940511918
"161",2009-06-14,2471.08723155367,2120.21393155761,2758.83683381362
"162",2009-06-15,2332.25279160099,2015.71273482883,2646.90621477096
"163",2009-06-16,2333.70016743911,2017.87056624592,2627.0329104667
"164",2009-06-17,2344.44005496472,2034.60158028525,2673.51822953981
"165",2009-06-18,2339.10067378635,2009.80594062066,2675.23617035379
"166",2009-06-19,2337.95893266779,2038.76474333207,2640.76779232925
"167",2009-06-20,2470.0783083184,2134.70504270017,2773.7496684567
"168",2009-06-21,2472.64766111613,2185.37691223761,2810.47449075851
"169",2009-06-22,2334.67639910556,2035.21769826579,2662.81669621057
"170",2009-06-23,2327.46893345112,1998.95351562444,2649.51250009031
"171",2009-06-24,2340.41460345821,2031.28004114072,2677.10840394637
"172",2009-06-25,2350.73130949151,2030.83878023786,2655.5735773045
"173",2009-06-26,2361.68746129896,2053.78588120088,2683.11241050739
"174",2009-06-27,2497.55570678765,2160.24672414287,2808.281418296
"175",2009-06-28,2510.522248865,2191.93745792778,2816.52791526946
"176",2009-06-29,2394.89168617697,2082.09372581352,2735.996201669
"177",2009-06-30,2404.23475293072,2086.76610675881,2719.89492094367
"178",2009-07-01,2414.60049383676,2083.48598119797,2723.87196422912
"179",2009-07-02,2415.50550982007,2118.85578549584,2745.16277578678
"180",2009-07-03,2427.21639454825,2115.61482978927,2754.50020116636
"181",2009-07-04,2569.34812618826,2253.21456447838,2878.76302209412
"182",2009-07-05,2579.96077725624,2266.19917985212,2906.64893211112
"183",2009-07-06,2455.93941263164,2130.85586177836,2791.87219681615
"184",2009-07-07,2463.50005104197,2134.16568259841,2785.96993310587
"185",2009-07-08,2476.39477900825,2140.89629272823,2781.14087194049
"186",2009-07-09,2471.24772446422,2149.95027124415,2817.47564727345
"187",2009-07-10,2471.50053700251,2152.78521358317,2798.86539429328
"188",2009-07-11,2614.51841947877,2299.97941509417,2948.05287199573
