"","ds","yhat","yhat_lower","yhat_upper"
"1",2009-01-05,1684.45140345262,1366.41836648436,2011.58203138625
"2",2009-01-06,1692.83409757097,1369.51186475834,2031.80439598205
"3",2009-01-07,1702.91110985471,1395.80527937432,2016.75450221832
"4",2009-01-08,1705.44029578479,1358.77995516226,2037.41680853068
"5",2009-01-09,1727.88960469649,1407.99001677972,2053.45667177408
"6",2009-01-10,1892.36111556915,1577.90175794523,2210.5371204042
"7",2009-01-11,1914.5734911313,1587.88237664462,2257.23030710066
"8",2009-01-12,1782.04004425778,1472.8756159497,2121.28559637035
"9",2009-01-13,1781.73622170624,1423.49374771808,2097.52443421872
"10",2009-01-14,1801.61632818831,1470.53934198327,2114.02493948837
"11",2009-01-15,1816.07800810635,1515.65031476007,2121.38764012165
"12",2009-01-16,1827.07863195187,1518.55367287476,2165.52363508281
"13",2009-01-17,1962.03845434216,1628.44444646194,2288.36552713995
"14",2009-01-18,1964.85711896762,1639.33979591856,2267.97507905706
"15",2009-01-19,1831.05901122992,1513.36554151791,2156.41839147984
"16",2009-01-20,1827.01026812607,1498.40772056582,2149.6462157583
"17",2009-01-21,1828.47910142716,1529.9264087455,2142.39249922686
"18",2009-01-22,1825.39340011242,1477.68551399431,2107.60806703561
"19",2009-01-23,1834.94068262051,1522.13513322668,2148.49827824517
"20",2009-01-24,1974.89641430037,1676.56228221353,2284.66542694143
"21",2009-01-25,1974.46724211361,1655.83572354802,2308.88847392027
"22",2009-01-26,1836.13454579565,1516.96956402671,2174.87122436369
"23",2009-01-27,1840.91292383037,1543.04312946114,2183.25157671315
"24",2009-01-28,1857.75880488346,1535.94764355918,2163.77258830265
"25",2009-01-29,1856.32487446829,1550.50371981264,2177.76801181724
"26",2009-01-30,1852.41166312249,1530.45045455553,2174.55858421628
"27",2009-01-31,1982.8115888443,1679.76105874419,2309.03277560181
"28",2009-02-01,1985.07284142253,1669.5495542026,2257.14218707193
"29",2009-02-02,1848.85373542331,1531.50962199773,2179.45075203758
"30",2009-02-03,1846.48082812831,1503.52764185341,2160.65780213276
"31",2009-02-04,1856.86947000674,1519.50261247161,2151.60040633114
"32",2009-02-05,1857.86734587563,1518.0218462022,2194.001204932
"33",2009-02-06,1855.9760974384,1536.94165150535,2165.79470687455
"34",2009-02-07,1979.97814715923,1660.66103106013,2302.36484580115
"35",2009-02-08,1979.01050100441,1643.05101633407,2290.5316425605
"36",2009-02-09,1855.35820362047,1527.43369848417,2176.29029716197
"37",2009-02-10,1870.51619960222,1543.08232698298,2168.15658858695
"38",2009-02-11,1884.70530208738,1570.33607741257,2215.94622498965
"39",2009-02-12,1881.56891422416,1559.54897676426,2197.37281328276
"40",2009-02-13,1889.99650509722,1565.74861900867,2211.83439635601
"41",2009-02-14,2038.88922895702,1704.85990021465,2346.08034417969
"42",2009-02-15,2050.49379565352,1732.06754430199,2377.53345632064
"43",2009-02-16,1913.82165787045,1602.5155464513,2227.5969701307
"44",2009-02-17,1911.59021351211,1589.46602609251,2219.20285803506
"45",2009-02-18,1926.58287880236,1602.74980366678,2250.26823612829
"46",2009-02-19,1933.18782371124,1631.35320205082,2252.990307141
"47",2009-02-20,1938.51656398828,1614.4285192873,2249.72056553779
"48",2009-02-21,2073.97225262467,1746.93744581125,2400.13667169946
"49",2009-02-22,2082.05285534431,1769.84503229831,2421.80829937343
"50",2009-02-23,1954.80012208633,1651.99603342257,2288.06539757044
"51",2009-02-24,1958.19071328982,1646.48043747071,2280.33828582195
"52",2009-02-25,1969.91222707141,1639.78510188915,2287.52671853327
"53",2009-02-26,1979.31404651558,1647.74712249902,2315.59907894033
"54",2009-02-27,1999.51201919479,1692.58993888325,2327.13565625129
"55",2009-02-28,2144.62633325775,1825.40973994404,2472.80428777664
"56",2009-03-01,2143.23539957979,1841.98880781782,2461.88919201235
"57",2009-03-02,1999.12012990861,1654.22550665028,2313.27348160902
"58",2009-03-03,1995.92402225485,1687.59336294824,2322.94147920635
"59",2009-03-04,2007.69175779667,1711.24202708809,2322.39659388259
"60",2009-03-05,2009.34771228055,1701.76077227394,2337.25809194726
"61",2009-03-06,2015.48914987499,1729.42530112645,2335.82668418215
"62",2009-03-07,2153.07550406056,1813.05019746349,2476.83663990133
"63",2009-03-08,2150.01757908626,1832.99351391495,2466.66020906433
"64",2009-03-09,1997.91257462956,1670.03568963349,2322.25299964027
"65",2009-03-10,1982.22385564885,1658.45750800898,2287.86707621354
"66",2009-03-11,1993.38920455398,1685.13436601418,2301.15186406837
"67",2009-03-12,2008.39154339088,1675.09395257402,2314.55652919549
"68",2009-03-13,2022.70698954762,1702.85984561345,2343.06560838311
"69",2009-03-14,2154.48621275882,1862.31881227533,2487.56162692227
"70",2009-03-15,2150.06240616109,1827.20470280327,2465.61507521178
"71",2009-03-16,2016.48034996,1688.30593755469,2333.70653672432
"72",2009-03-17,2022.64669499482,1721.87888829132,2338.37593936046
"73",2009-03-18,2033.26853159499,1706.53335642481,2332.04222893219
"74",2009-03-19,2030.40870397716,1714.84491696397,2332.31430536162
"75",2009-03-20,2037.47372909852,1722.06199454368,2367.51547047651
"76",2009-03-21,2180.36844656193,1849.33683717659,2499.24335132439
"77",2009-03-22,2184.55956666188,1872.02353642154,2506.79844734467
"78",2009-03-23,2044.65427962451,1710.29075688395,2342.59851004404
"79",2009-03-24,2044.84935877096,1724.91034894143,2354.10531055938
"80",2009-03-25,2064.85861223971,1735.19707241721,2401.58459711801
"81",2009-03-26,2076.89816970993,1759.40535003937,2397.44256232316
"82",2009-03-27,2089.50533254883,1785.22110331484,2424.5812893036
"83",2009-03-28,2235.39492251279,1897.45120991458,2557.81814604103
"84",2009-03-29,2254.56703426831,1950.7022447798,2590.25810279082
"85",2009-03-30,2134.73583943257,1848.43530930009,2465.92500122777
"86",2009-03-31,2139.77657022663,1817.66643976804,2496.05349857741
"87",2009-04-01,2148.00480637421,1819.52948967609,2491.918143174
"88",2009-04-02,2150.6768437885,1840.3437424268,2484.39950185056
"89",2009-04-03,2164.72774436305,1851.02979581206,2486.62036837769
"90",2009-04-04,2310.13628407924,1998.00995850214,2619.03521675579
"91",2009-04-05,2318.32945456723,1993.35985322958,2640.28132481513
"92",2009-04-06,2187.11972983205,1855.68558643623,2494.17677086212
"93",2009-04-07,2188.73719429736,1862.10636201489,2515.62122970085
"94",2009-04-08,2192.3745096376,1879.84289736403,2528.67821137788
"95",2009-04-09,2181.46544232148,1845.72882110504,2529.21925047662
"96",2009-04-10,2184.72806088467,1866.44068465727,2522.90174043532
"97",2009-04-11,2334.96398725279,2004.28680039657,2636.50126262869
"98",2009-04-12,2352.96193236159,2038.46935766197,2662.09613197364
"99",2009-04-13,2218.02587371703,1908.67127814788,2543.22761353252
"100",2009-04-14,2208.35616255577,1881.40164746527,2528.1457653544
"101",2009-04-15,2215.69254252205,1901.57119547385,2524.25456921498
"102",2009-04-16,2223.72815157185,1910.65264989718,2533.3406947867
"103",2009-04-17,2234.41001307893,1901.9490961168,2547.45497999542
"104",2009-04-18,2367.36184348551,2034.04719791976,2678.32373317812
"105",2009-04-19,2364.66538602695,2030.1916673667,2677.36976104092
"106",2009-04-20,2228.23180030027,1911.33236530679,2567.35501833811
"107",2009-04-21,2227.024542498,1911.21684827714,2530.91808683599
"108",2009-04-22,2230.99789579734,1924.25499854526,2536.3753921916
"109",2009-04-23,2226.3146461834,1926.44990849198,2532.12253650359
"110",2009-04-24,2235.11744193811,1902.24443923708,2549.52917090345
"111",2009-04-25,2379.98345365384,2056.78980350451,2690.87173446354
"112",2009-04-26,2386.15813734337,2045.14200297898,2712.15399046505
"113",2009-04-27,2250.34544507201,1937.78293573268,2574.93430719198
"114",2009-04-28,2256.34596340671,1941.01817881732,2584.21260047579
"115",2009-04-29,2279.98487096753,1941.91093414766,2605.80733030785
"116",2009-04-30,2290.00264421821,1970.01412012243,2614.78500793531
"117",2009-05-01,2294.48058767921,1981.62965520304,2608.73818885386
"118",2009-05-02,2427.59419931088,2104.5254311898,2750.98386745288
"119",2009-05-03,2432.11914691454,2105.50210404518,2769.17901582776
"120",2009-05-04,2300.98708572363,1994.10973651867,2607.97580725829
"121",2009-05-05,2303.45421709837,1975.15454078988,2617.15574696004
"122",2009-05-06,2316.72018090534,2013.02083787762,2652.68001609816
"123",2009-05-07,2322.27220699807,2016.34172363826,2644.8047083799
"124",2009-05-08,2327.44759328368,2012.17627387071,2634.72577826497
"125",2009-05-09,2454.17901268841,2144.68177801057,2769.81538413515
