"","ds","yhat","yhat_lower","yhat_upper"
"86",2009-03-31,2139.77657022663,1811.90915819399,2467.35990832663
"87",2009-04-01,2148.00480637421,1837.3533558449,2459.4970713445
"88",2009-04-02,2150.6768437885,1804.43040228866,2495.21547735466
"89",2009-04-03,2164.72774436305,1871.79550778183,2490.91323892837
"90",2009-04-04,2310.13628407924,1976.27824273518,2599.43272264366
"91",2009-04-05,2318.32945456723,1998.289065776,2619.13335480871
"92",2009-04-06,2187.11972983205,1859.05690746281,2498.63972042353
"93",2009-04-07,2188.73719429736,1870.09755432349,2508.49703872006
"94",2009-04-08,2192.3745096376,1847.06592919855,2517.0811940811
"95",2009-04-09,2181.46544232148,1866.55148868654,2513.09710845965
"96",2009-04-10,2184.72806088467,1856.57170790261,2517.27238776713
"97",2009-04-11,2334.96398725279,2028.67253347285,2658.47802661869
"98",2009-04-12,2352.96193236159,2044.44141126946,2665.47353469368
"99",2009-04-13,2218.02587371703,1902.98746738251,2535.72909011197
"100",2009-04-14,2208.35616255577,1868.53746070267,2518.14739108431
"101",2009-04-15,2215.69254252205,1885.84501120214,2522.85010617403
"102",2009-04-16,2223.72815157185,1905.69682916796,2527.74813023125
"103",2009-04-17,2234.41001307893,1909.99071551285,2563.42113316015
"104",2009-04-18,2367.36184348551,2030.43145508928,2687.93822331365
"105",2009-04-19,2364.66538602695,2032.97514362223,2680.3941977846
"106",2009-04-20,2228.23180030027,1907.65396362043,2527.26475197399
"107",2009-04-21,2227.024542498,1878.17991361621,2529.52265492155
"108",2009-04-22,2230.99789579734,1913.01674656075,2573.45819409297
"109",2009-04-23,2226.3146461834,1905.20054663548,2554.11509763081
"110",2009-04-24,2235.11744193811,1913.25025823811,2546.20820438878
"111",2009-04-25,2379.98345365384,2037.41900787864,2690.50401841017
"112",2009-04-26,2386.15813734337,2069.63188407238,2687.84688797588
"113",2009-04-27,2250.34544507201,1942.77364544443,2577.22294152628
"114",2009-04-28,2256.34596340671,1934.64873086967,2561.65346904134
"115",2009-04-29,2279.98487096753,1968.1549525921,2594.57641167693
"116",2009-04-30,2290.00264421821,1983.45664343612,2599.04226195645
"117",2009-05-01,2294.48058767921,1965.55338187621,2618.16184948162
"118",2009-05-02,2427.59419931088,2087.07564387186,2727.36045563486
"119",2009-05-03,2432.11914691454,2116.54009882978,2756.22031249586
"120",2009-05-04,2300.98708572363,1981.06369658239,2631.54498967475
"121",2009-05-05,2303.45421709837,1982.06421440118,2621.41887364032
"122",2009-05-06,2316.72018090534,1981.84856199568,2629.58460962711
"123",2009-05-07,2322.27220699807,1986.91046970024,2627.98796595196
"124",2009-05-08,2327.44759328368,2011.93704375676,2632.65709903285
"125",2009-05-09,2454.17901268841,2121.14062927047,2777.37937620681
"126",2009-05-10,2447.02092606615,2113.17639009146,2771.33041585308
"127",2009-05-11,2315.2753658484,2004.17176960145,2635.99859946259
"128",2009-05-12,2330.25258758201,2026.3199304848,2654.42847756149
"129",2009-05-13,2350.04429990611,2049.00399740628,2672.48375956287
"130",2009-05-14,2347.35899269161,2030.6255925752,2662.49992127962
"131",2009-05-15,2348.00194974073,2035.85964925932,2662.86959044605
"132",2009-05-16,2489.41306778748,2155.31334386501,2803.91823896413
"133",2009-05-17,2499.66201560927,2163.35389786811,2814.40332778981
"134",2009-05-18,2362.40237860185,2036.88063563334,2675.53858945115
"135",2009-05-19,2354.11481343111,2014.74176049511,2673.44263751274
"136",2009-05-20,2360.91797369565,2027.72917133485,2679.63368902875
"137",2009-05-21,2363.37493900705,2049.31474854206,2682.62906588402
"138",2009-05-22,2366.52663862076,2044.00293653446,2703.49550659653
"139",2009-05-23,2495.47712494275,2207.46635713894,2821.68203717847
"140",2009-05-24,2493.68557736543,2175.52277888468,2775.3517448088
"141",2009-05-25,2359.90750914964,2058.49589256198,2649.12036534994
"142",2009-05-26,2360.86625922885,2019.87737031011,2716.47754851541
"143",2009-05-27,2367.89342412043,2058.42534168433,2700.02292800081
"144",2009-05-28,2368.43578896892,2010.64756409241,2681.35519028428
"145",2009-05-29,2382.13199843552,2049.52051733443,2709.37607647401
"146",2009-05-30,2527.24731235656,2199.54422367963,2865.34875578756
"147",2009-05-31,2526.9630208146,2191.42028577079,2829.22091665922
"148",2009-06-01,2378.66925357039,2050.84162104551,2719.19218166168
"149",2009-06-02,2368.15154608221,2041.6797054794,2673.04238906967
"150",2009-06-03,2375.15067217371,2022.08814203949,2673.08803186909
"151",2009-06-04,2374.37856496699,2060.08411732349,2695.05536369318
"152",2009-06-05,2376.89229449068,2076.42229633043,2702.79391688842
"153",2009-06-06,2511.03798688578,2188.6350647596,2868.07206530686
"154",2009-06-07,2508.32620283088,2192.71286574572,2849.08268708007
"155",2009-06-08,2356.99133860124,2039.0914471646,2665.86763834543
"156",2009-06-09,2334.9573303682,2013.24987126996,2658.64920894713
"157",2009-06-10,2333.70365749533,2018.93976352617,2686.24121760271
"158",2009-06-11,2340.71661103398,2017.52002338449,2693.17491317265
"159",2009-06-12,2356.36335030586,2033.11471848333,2647.22238917257
"160",2009-06-13,2490.42775997761,2179.84270941531,2805.54899190893
"161",2009-06-14,2480.33580066822,2170.31861358138,2801.34424437718
"162",2009-06-15,2336.81390729392,1983.5706164748,2662.48062097146
"163",2009-06-16,2337.99105432632,2000.17768389784,2660.31529944666
"164",2009-06-17,2348.52287175051,2039.74605788345,2668.78349473974
"165",2009-06-18,2342.66721418363,2021.12477204763,2665.35056125988
"166",2009-06-19,2342.03668046511,2013.32638003686,2665.46785121554
"167",2009-06-20,2478.97826502966,2176.75334968501,2785.85334679765
"168",2009-06-21,2481.64097942536,2155.72738583212,2807.42408525368
"169",2009-06-22,2338.93017496642,2025.98533284326,2648.74517041552
"170",2009-06-23,2331.4136092967,2015.7442112873,2655.16840678888
"171",2009-06-24,2343.91667348565,2021.58566412178,2668.00075981052
"172",2009-06-25,2353.62997257227,2047.41908306925,2671.7133334441
"173",2009-06-26,2365.3143510514,2072.09583696137,2670.91455211947
"174",2009-06-27,2506.09936052751,2186.9022575929,2837.76814335437
"175",2009-06-28,2518.96605469781,2196.01911669949,2823.07046715302
"176",2009-06-29,2398.69057589447,2075.54364762819,2716.88704436091
"177",2009-06-30,2408.42301144056,2102.8883618629,2724.83469110765
"178",2009-07-01,2418.93647634658,2121.13766766102,2737.18357840117
"179",2009-07-02,2419.03301159669,2085.72599741835,2755.99233198572
"180",2009-07-03,2431.02036593169,2123.7864011512,2760.13316338625
"181",2009-07-04,2578.27554815164,2266.201022299,2910.54748168393
"182",2009-07-05,2589.25745988849,2265.59278690481,2916.79890605423
"183",2009-07-06,2460.1407808643,2142.90177799949,2777.31951356599
"184",2009-07-07,2466.84758913111,2142.22182033179,2759.34935720783
"185",2009-07-08,2479.43267368938,2165.60602549782,2793.6773147428
"186",2009-07-09,2474.48063150117,2164.86811750858,2799.42870642199
"187",2009-07-10,2476.10233085468,2154.6216124918,2792.715538827
"188",2009-07-11,2624.06767710107,2309.14925536628,2961.80628004364
"189",2009-07-12,2648.90960370029,2321.91178025852,2951.39480222384
"190",2009-07-13,2527.71159538159,2195.21850605788,2839.57710233254
"191",2009-07-14,2527.62983799039,2217.40285926716,2877.9164550531
"192",2009-07-15,2537.19548842257,2212.61021728962,2869.18519888012
"193",2009-07-16,2548.50379546784,2235.58829829466,2851.83132514683
"194",2009-07-17,2569.17892572589,2282.97529988447,2910.64817275629
"195",2009-07-18,2713.33482775892,2387.11316767979,3045.46631189595
"196",2009-07-19,2716.66159864189,2418.12098415262,3052.3431814277
"197",2009-07-20,2584.25072155739,2271.41282738844,2926.78788016636
"198",2009-07-21,2591.08848998865,2254.71394856897,2908.01987579211
"199",2009-07-22,2604.91202237384,2287.71965013375,2921.50232245588
"200",2009-07-23,2605.4463309965,2283.34862308165,2918.50175320231
"201",2009-07-24,2615.66664419105,2303.16802770483,2946.97605805964
"202",2009-07-25,2764.74713372403,2446.58437400134,3107.84967743009
"203",2009-07-26,2778.57655642661,2463.40301519283,3119.89944089669
"204",2009-07-27,2647.41405587644,2308.04643065817,2986.23616293103
"205",2009-07-28,2653.08424476669,2324.30642406711,2965.77306135399
"206",2009-07-29,2677.87769581886,2346.80592756637,3004.63475874504
"207",2009-07-30,2694.63876541024,2379.56758311296,3025.81453982997
"208",2009-07-31,2706.02661104564,2350.36390406558,3021.9677262837
"209",2009-08-01,2839.81678241396,2503.09560209354,3176.79171422809
"210",2009-08-02,2840.93313979738,2531.79380559844,3130.95851396851
"211",2009-08-03,2708.02416449755,2379.01200186238,3056.17667385316
"212",2009-08-04,2710.16800918333,2404.99380107688,3029.00469687912
"213",2009-08-05,2721.07111015209,2411.3470356571,3027.06768714209
"214",2009-08-06,2723.66579494826,2412.83327508277,3032.42141223557
"215",2009-08-07,2728.95766261169,2399.13137974435,3066.2096335559
"216",2009-08-08,2855.59392279518,2546.28992024368,3167.71297990261
"217",2009-08-09,2840.67434969442,2519.41484678753,3177.05901268254
"218",2009-08-10,2694.63339146486,2374.74891086584,3001.85541141303
"219",2009-08-11,2699.37992505037,2381.14409601276,2996.59865749988
"220",2009-08-12,2717.9950378593,2418.15397544167,3036.04545909302
"221",2009-08-13,2714.92040993165,2379.41723993607,3043.98292073711
"222",2009-08-14,2707.15426972589,2387.85240840694,3013.26020679933
"223",2009-08-15,2835.91712849607,2521.74264539831,3159.72003505372
"224",2009-08-16,2838.5973227041,2502.72910432097,3147.60038008644
"225",2009-08-17,2698.88933444029,2390.38912728558,2996.58360795084
"226",2009-08-18,2685.55586265878,2345.74283739451,2991.10524560547
"227",2009-08-19,2683.00205200404,2386.12536318057,2988.80543517481
"228",2009-08-20,2678.30567565887,2359.54324883183,3000.84841638803
"229",2009-08-21,2679.25344609272,2347.98204458821,2999.59749539985
"230",2009-08-22,2805.30089091807,2484.49309333856,3120.35178696699
"231",2009-08-23,2796.32030076077,2466.28588948223,3108.03877942998
"232",2009-08-24,2656.20880263642,2336.13761732329,2961.75498139476
"233",2009-08-25,2656.68136800571,2341.75913719814,2983.2272181057
"234",2009-08-26,2665.29679613575,2357.43206351023,2987.05637087402
"235",2009-08-27,2663.90631712162,2363.87976174651,2989.84352973986
"236",2009-08-28,2675.10505846685,2335.84771590869,3016.99639839193
"237",2009-08-29,2824.18155903851,2487.03232754929,3126.56960401011
"238",2009-08-30,2833.53927564545,2501.67547840062,3154.30758254449
"239",2009-08-31,2692.95966745909,2367.3505632157,3023.60715273693
"240",2009-09-01,2685.69504448717,2366.46901657918,2997.87694267512
"241",2009-09-02,2696.76816682654,2388.62149535412,3004.73939878852
"242",2009-09-03,2704.18808804903,2375.77106002776,2994.44738286573
"243",2009-09-04,2715.93386089439,2382.10431271006,3063.88134526518
"244",2009-09-05,2858.59693778512,2545.94994748235,3168.78753963634
"245",2009-09-06,2867.2581493537,2531.76150024324,3191.11325395039
"246",2009-09-07,2730.88977523298,2431.45284638131,3058.17630831357
"247",2009-09-08,2720.44232053869,2391.5260723536,3030.43698964993
"248",2009-09-09,2722.66642159772,2381.30041563769,3031.80768204981
